model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
voter_zealots,20,0,0,0,0,0.0,35,40,21,40,0.16346160500143014,0.03214216400010628,0.19602865299930272,0.9475417921492322,0.8572997167064482,0.9999999999999994,0.5250000000000001,0.4750000000000001,0.708113767963215,0.26028317798655237,0.708113767963215,0.26028317798655237,0.1,ok,
voter_contrarians,20,0,0,0,0,0.0,35,40,21,40,0.024653718999616103,0.01065956100137555,0.03537450799922226,0.9475417921492322,0.8572997167064482,0.9999999999999994,0.5250000000000001,0.4750000000000001,0.708113767963215,0.26028317798655237,0.708113767963215,0.26028317798655237,0.1,ok,
crossinh_zealots,20,0,0,0,0,0.0,35,40,230,762,0.016021735000322224,0.01789874699898064,0.03398400299920468,0.7413279310546121,0.5456258343948412,0.9999999997491562,0.5649159555126304,0.43508404423652614,0.6425386296487655,0.3594165533288005,0.6421392501394708,0.3582014441514578,0.8908391185553921,ok,
crossinh_contrarians,20,0,0,0,0,0.0,35,40,230,762,0.018460991999745602,0.0199768660004338,0.03850534299999708,0.7413279310546121,0.5456258343948412,0.9999999997491562,0.5649159555126304,0.43508404423652614,0.6425386296487655,0.3594165533288005,0.6421392501394708,0.3582014441514578,0.8908391185553921,ok,
voter_zealots,20,1,1,0,2,0.1,35,40,19,36,0.018015751000348246,0.014813232999586035,0.03291118400011328,0.9984686401206042,0.9734180072651347,0.9999999999999999,0.5249999999999997,0.47500000000000003,0.0,0.0,0.0,0.0,0.1111111111111111,ok,
voter_contrarians,20,0,0,2,2,0.1,35,40,57,216,0.019114540998998564,0.01696782799990615,0.03614967800058366,0.9999278718698124,0.9978235676185518,0.9999999999999991,0.5204545454545451,0.47954545454545383,0.0,0.0,0.0,0.0,0.10101010101010101,ok,
crossinh_zealots,20,1,1,0,2,0.1,35,40,190,684,0.018250451999847428,0.022220778999326285,0.040583266998510226,0.7682885152620286,0.5654068241869262,0.9999999997232517,0.5634481909449282,0.4365518087783232,0.658931498122243,0.3436869389138615,0.6580647185958123,0.0,0.8918451545169886,ok,
crossinh_contrarians,20,0,0,2,2,0.1,35,40,570,3044,0.020290375001422944,0.026591141999233514,0.0469825079999282,0.821725298772722,0.6493609222000236,0.999999999871136,0.5404778403043373,0.45952215956679826,0.0,0.0,0.0,0.0,0.6571617218936404,ok,
voter_zealots,20,2,2,0,4,0.2,35,40,17,32,0.016762013001425657,0.015987510998456855,0.03279986499910592,0.9999169992986631,0.9959641693911112,1.0,0.5249999999999999,0.47499999999999953,0.0,0.0,0.0,0.0,0.125,ok,
voter_contrarians,20,0,0,4,4,0.2,35,40,85,388,0.01780388800034416,0.013756931999523658,0.031617740000001504,0.999999449608429,0.9999832300729118,0.9999999999999996,0.5162371134020616,0.48376288659793787,0.0,0.0,0.0,0.0,0.10309278350515465,ok,
crossinh_zealots,20,2,2,0,4,0.2,35,40,153,544,0.017457619000197155,0.018772711999190506,0.03628818799916189,0.8236896412970033,0.6007003466096901,0.9999999998320993,0.561659686910287,0.43834031292181225,0.0,0.0,0.0,0.0,0.8942341169311205,ok,
crossinh_contrarians,20,0,0,4,4,0.2,35,40,765,4662,0.020494848000453203,0.02498984100020607,0.0456214510013524,0.9574032510242316,0.8592136187098515,0.9999999999950927,0.5226765796300434,0.4773234203650491,0.0,0.0,0.0,0.0,0.48557265852781895,ok,
voter_zealots,20,3,3,0,6,0.3,35,40,15,28,0.016107082999951672,0.017452177999075502,0.03361052800028119,0.999992635456983,0.99937563770987,0.9999999999999997,0.525,0.47499999999999987,0.0,0.0,0.0,0.0,0.14285714285714285,ok,
voter_contrarians,20,0,0,6,6,0.3,35,40,105,512,0.018334783000682364,0.017649065999648883,0.03610802199909813,0.9999999896838353,0.9999998750623385,0.9999999999999996,0.5122340425531912,0.4877659574468089,0.0,0.0,0.0,0.0,0.10638297872340426,ok,
crossinh_zealots,20,3,3,0,6,0.3,35,40,120,420,0.018494105999707244,0.018058552999718813,0.036641471000621095,0.9123344374652684,0.6832727279496573,0.9999999999469409,0.559660360272473,0.4403396396744677,0.0,0.0,0.0,0.0,0.9040038446715543,ok,
crossinh_contrarians,20,0,0,6,6,0.3,35,40,840,5344,0.022117414000604185,0.027578557001106674,0.04978875499909918,0.9945608989373387,0.9798092124287027,0.9999999999999892,0.510105066655079,0.4898949333449107,0.0,0.0,0.0,0.0,0.3752054257355146,ok,
voter_zealots,20,4,4,0,8,0.4,35,40,13,24,0.019127248999211588,0.01782432400068501,0.03700269900036801,0.9999989548474346,0.9998893756244358,1.0000000000000013,0.5249999999999998,0.475,0.0,0.0,0.0,0.0,0.16666666666666666,ok,
voter_contrarians,20,0,0,8,8,0.4,35,40,117,588,0.017963868000151706,0.01812544499989599,0.03614888599986443,0.9999999996480389,0.9999999989467381,0.9999999999999999,0.5083333333333333,0.4916666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,ok,
crossinh_zealots,20,4,4,0,8,0.4,35,40,91,312,0.016845451998960925,0.014813980998951592,0.03171959999963292,0.9695872387582986,0.8072242476221094,0.999999999991447,0.5576054714519848,0.44239452853946265,0.0,0.0,0.0,0.0,0.9307917974239786,ok,
crossinh_contrarians,20,0,0,8,8,0.4,35,40,819,5282,0.020361118000437273,0.02568101600081718,0.046209417001591646,0.9996041938515112,0.9990022600388961,1.0000000000000002,0.5010347578135488,0.4989652421864511,0.0,0.0,0.0,0.0,0.30991234160973335,ok,
voter_zealots,20,5,5,0,10,0.5,35,40,11,20,0.01673004700023739,0.01577622200056794,0.0325570280001557,0.9999997521918774,0.9999750667998379,0.9999999999999996,0.5250000000000001,0.4749999999999998,0.0,0.0,0.0,0.0,0.2,ok,
voter_contrarians,20,0,0,10,10,0.5,35,40,121,616,0.016970957000012277,0.01614883599904715,0.03321451100055128,0.9999999999814436,0.9999999999891402,0.9999999999999998,0.504411764705882,0.49558823529411766,0.0,0.0,0.0,0.0,0.11764705882352941,ok,
crossinh_zealots,20,5,5,0,10,0.5,35,40,66,220,0.02075409499957459,0.012564038999698823,0.03338514100141765,0.9901335572431165,0.9056443766623719,0.9999999999992178,0.5556730567906724,0.4443269432085462,0.0,0.0,0.0,0.0,0.9904485871093265,ok,
crossinh_contrarians,20,0,0,10,10,0.5,35,40,726,4668,0.021532462000322994,0.026149707999138627,0.047781567000129144,0.9999872071311692,0.999987004572692,0.9999999999999998,0.49411268366956695,0.5058873163304327,0.0,0.0,0.0,0.0,0.2724011451622408,ok,
voter_zealots,20,6,6,0,12,0.6,35,40,9,16,0.016790659999969648,0.013170719999834546,0.030021403999853646,0.9999998901376165,0.9999918140364071,1.0,0.5249999999999997,0.4749999999999999,0.0,0.0,0.0,0.0,0.25,ok,
voter_contrarians,20,0,0,12,12,0.6,35,40,117,596,0.01790274000086356,0.015185514999757288,0.03315047499927459,0.9999999999986336,0.9999999999998538,1.0000000000000002,0.5003164556962028,0.49968354430379713,0.0,0.0,0.0,0.0,0.1265822784810127,ok,
crossinh_zealots,20,6,6,0,12,0.6,35,40,45,144,0.018685894001464476,0.01683160300126474,0.035588492999522714,0.9962512516662217,0.957087804620223,0.9999999999999213,0.5540660238426575,0.4459339761572632,0.0,0.0,0.0,0.0,1.112916678397919,ok,
crossinh_contrarians,20,0,0,12,12,0.6,35,40,585,3694,0.019993686999441707,0.02104054399933375,0.04114598600062891,0.9999998163882559,0.9999999509165892,1.0000000000000002,0.48849261554516366,0.5115073844548368,0.0,0.0,0.0,0.0,0.25073359386552274,ok,
voter_zealots,30,0,0,0,0,0.0,35,40,31,60,0.015597342999171815,0.018201179000243428,0.03385471300134668,0.9502961195958957,0.7779068008483419,0.9999999999999994,0.549875311720698,0.4501246882793023,0.7714843414666133,0.16570281351820834,0.7435587509652691,0.16570281351820834,0.2665954162213514,ok,
voter_contrarians,30,0,0,0,0,0.0,35,40,31,60,0.017440214000089327,0.017126958000517334,0.03462988700084679,0.9502961195958957,0.7779068008483419,0.9999999999999994,0.549875311720698,0.4501246882793023,0.7714843414666133,0.16570281351820834,0.7435587509652691,0.16570281351820834,0.2665954162213514,ok,
crossinh_zealots,30,0,0,0,0,0.0,35,40,495,1742,0.01800991799973417,0.023917728000014904,0.04199612600132241,0.7274842630014162,0.44799534871397884,0.999999971510071,0.609459391009057,0.3905405805010144,0.6749090489804191,0.3259924851362528,0.6747343906193127,0.32541902268870604,1.7274148640833185,ok,
crossinh_contrarians,30,0,0,0,0,0.0,35,40,495,1742,0.019339164000484743,0.027072410000982927,0.046492034000038984,0.7274842630014162,0.44799534871397884,0.999999971510071,0.609459391009057,0.3905405805010144,0.6749090489804191,0.3259924851362528,0.6747343906193127,0.32541902268870604,1.7274148640833185,ok,
voter_zealots,30,2,2,0,4,0.13333333333333333,35,40,27,52,0.01784296099867788,0.01215897400106769,0.030115183000816614,0.9993032153610437,0.9587000426931165,0.9999999999999994,0.5501304660788192,0.44986953392118023,0.0,0.0,0.0,0.0,0.31090940393959104,ok,
voter_contrarians,30,0,0,4,4,0.13333333333333333,35,40,135,628,0.017991831999097485,0.016576166000959347,0.03463902400108054,0.9999653272454359,0.9974215431172218,1.0000000000000002,0.5373555638377621,0.46264443616223744,0.0,0.0,0.0,0.0,0.27267178877831744,ok,
crossinh_zealots,30,2,2,0,4,0.13333333333333333,35,40,378,1404,0.019257518000813434,0.024371597999561345,0.04374760799873911,0.7682039448965806,0.4724935658189424,0.9999999411180291,0.6059785742178299,0.3940213669002,0.7024164764167321,0.29834326537582556,0.7017422708254828,0.0,1.7116328854138831,ok,
crossinh_contrarians,30,0,0,4,4,0.13333333333333333,35,40,1890,11992,0.02540828299970599,0.038280591999864555,0.06380679399990186,0.8405090956382065,0.6000126181709263,0.9999999719971332,0.5594545675346455,0.44054540446248713,0.0,0.0,0.0,0.0,1.165294308443244,ok,
voter_zealots,30,3,3,0,6,0.2,35,40,25,48,0.014511201999994228,0.007354421000854927,0.021922433999861823,0.9998524560821326,0.9839264213156879,0.9999999999999989,0.5502901023890784,0.4497098976109214,0.0,0.0,0.0,0.0,0.3390929960255899,ok,
voter_contrarians,30,0,0,6,6,0.2,35,40,175,872,0.016680557000654517,0.015841586999158608,0.03259755999897607,0.9999966294860627,0.9998004942905244,1.000000000000001,0.5307765959379608,0.46922340406203883,0.0,0.0,0.0,0.0,0.2740656352569977,ok,
crossinh_zealots,30,3,3,0,6,0.2,35,40,325,1200,0.019219218998841825,0.016948749998846324,0.03625189800004591,0.8066806102735561,0.49399884047586995,0.9999999420585993,0.6033612178607557,0.3966387241978435,0.7169161916786924,0.0,0.0,0.0,1.6920334124163838,ok,
crossinh_contrarians,30,0,0,6,6,0.2,35,40,2275,15154,0.030550985000445507,0.04759901400029776,0.07829179299915268,0.9342195990937887,0.7562157969596904,0.9999999952069158,0.5388072152565937,0.46119277995032204,0.0,0.0,0.0,0.0,0.8998887119736484,ok,
voter_zealots,30,4,4,0,8,0.26666666666666666,35,40,23,44,0.018606653000460938,0.014969984000344994,0.03365103000032832,0.9999577318167894,0.993470966989219,0.9999999999999993,0.5504789272030656,0.4495210727969351,0.0,0.0,0.0,0.0,0.37289707419017776,ok,
voter_contrarians,30,0,0,8,8,0.26666666666666666,35,40,207,1068,0.018001440999796614,0.015089012998942053,0.03317268099999637,0.9999994974392058,0.9999843777051012,0.9999999999999991,0.5241169698064947,0.4758830301935048,0.0,0.0,0.0,0.0,0.2742850240221509,ok,
crossinh_zealots,30,4,4,0,8,0.26666666666666666,35,40,276,1012,0.01861211299910792,0.01753575600014301,0.03622555000038119,0.8661857619820864,0.5315537289199205,0.9999999564909655,0.6002594450861258,0.39974051140483996,0.0,0.0,0.0,0.0,1.668099752564328,ok,
crossinh_contrarians,30,0,0,8,8,0.26666666666666666,35,40,2484,16932,0.03203277100146806,0.049677136999889626,0.08185682600014843,0.9785491752717004,0.902322404666273,0.9999999997886453,0.5224586555431089,0.4775413442455372,0.0,0.0,0.0,0.0,0.6869263864076052,ok,
voter_zealots,30,6,6,0,12,0.4,35,40,19,36,0.01526547799949185,0.017522894000649103,0.03285241199955635,0.9999919048350189,0.9985607008259838,0.9999999999999992,0.5509833289919245,0.44901667100807474,0.0,0.0,0.0,0.0,0.46577025628780616,ok,
voter_contrarians,30,0,0,12,12,0.4,35,40,247,1316,0.01939562100051262,0.018459982000422315,0.03793067700098618,0.9999999752896587,0.9999998911981843,1.0000000000000004,0.5109620964311458,0.4890379035688556,0.0,0.0,0.0,0.0,0.2710467370116276,ok,
crossinh_zealots,30,6,6,0,12,0.4,35,40,190,684,0.017313186999672325,0.017470734999733395,0.034856453001339105,0.9628217475335066,0.691373115816789,0.9999999890941553,0.5932607734505603,0.4067392156435948,0.0,0.0,0.0,0.0,1.6305524831628762,ok,
crossinh_contrarians,30,0,0,12,12,0.4,35,40,2470,17104,0.03164732599907438,0.054236123998634866,0.08603527199920791,0.9987465261216801,0.99590431483502,0.9999999999999979,0.500914990873778,0.49908500912621934,0.0,0.0,0.0,0.0,0.42815468749664115,ok,
voter_zealots,30,8,8,0,16,0.5333333333333333,35,40,15,28,0.015498882999963826,0.01798073700047098,0.033591476998481085,0.999994817447996,0.9994063611540545,0.9999999999999993,0.5517785234899323,0.44822147651006683,0.0,0.0,0.0,0.0,0.6202900287631833,ok,
voter_contrarians,30,0,0,16,16,0.5333333333333333,35,40,255,1372,0.01832089600065956,0.018267431998538086,0.036668781000116724,0.9999999978025264,0.9999999990778249,0.9999999999999992,0.4986673369675092,0.5013326630324902,0.0,0.0,0.0,0.0,0.26271897860528787,ok,
crossinh_zealots,30,8,8,0,16,0.5333333333333333,35,40,120,420,0.016559487999984412,0.019157204998919042,0.035782352000751416,0.990095442508694,0.8570025161672957,0.9999999986067994,0.5866258522075589,0.4133741463992402,0.0,0.0,0.0,0.0,1.675359214014693,ok,
crossinh_contrarians,30,0,0,16,16,0.5333333333333333,35,40,2040,14044,0.025683084000775125,0.04952952399980859,0.07534383699930913,0.9999823727978971,0.9999849000568859,0.9999999999999992,0.4887188559024224,0.5112811440975771,0.0,0.0,0.0,0.0,0.3124422345238892,ok,
voter_zealots,30,9,9,0,18,0.6,35,40,13,24,0.018307079999431153,0.02185599200129218,0.04021531099897402,0.9999928818860222,0.9994608196252667,1.000000000000001,0.5523769849049209,0.4476230150950798,0.0,0.0,0.0,0.0,0.7436834280859964,ok,
voter_contrarians,30,0,0,18,18,0.6,35,40,247,1328,0.01685135200023069,0.018460469000274315,0.03538579400083108,0.9999999992635697,0.9999999999084258,1.0000000000000004,0.493057554095774,0.5069424459042255,0.0,0.0,0.0,0.0,0.25654148264220333,ok,
crossinh_zealots,30,9,9,0,18,0.6,35,40,91,312,0.017201376000230084,0.021033255001384532,0.038305803998810006,0.9939246550203596,0.9054377913269567,0.9999999992539665,0.5840447248191628,0.4159552744348037,0.0,0.0,0.0,0.0,1.7750978540602236,ok,
crossinh_contrarians,30,0,0,18,18,0.6,35,40,1729,11782,0.02644408000014664,0.03991197700088378,0.0664798529996915,0.9999988837682587,0.9999996631628258,1.0,0.48453245580560067,0.5154675441943994,0.0,0.0,0.0,0.0,0.27983283385287444,ok,
voter_zealots,50,0,0,0,0,0.0,35,40,51,100,0.01735657000062929,0.016480710000905674,0.03389248500025133,0.97575748461427,0.7226779599362166,0.9999999999999981,0.5745037220843664,0.4254962779156326,0.8293958017179,0.06113678708757842,0.7463541570605621,0.06113678708757842,0.3583851080970511,ok,
voter_contrarians,50,0,0,0,0,0.0,35,40,51,100,0.015684955000324408,0.014871875999233453,0.030628225998952985,0.97575748461427,0.7226779599362166,0.9999999999999981,0.5745037220843664,0.4254962779156326,0.8293958017179,0.06113678708757842,0.7463541570605621,0.06113678708757842,0.3583851080970511,ok,
crossinh_zealots,50,0,0,0,0,0.0,35,40,1325,4902,0.018593131000670837,0.050328093999269186,0.06903242799853615,0.738298613882021,0.32862076554598685,0.9999987586245994,0.6872696120188702,0.31272914660573015,0.7231214077724742,0.2770258949332468,0.723104360500256,0.2769103198600288,3.1899166280638114,ok,
crossinh_contrarians,50,0,0,0,0,0.0,35,40,1325,4902,0.020094716999665252,0.04469780100043863,0.0649070119998214,0.738298613882021,0.32862076554598685,0.9999987586245994,0.6872696120188702,0.31272914660573015,0.7231214077724742,0.2770258949332468,0.723104360500256,0.2769103198600288,3.1899166280638114,ok,
voter_zealots,50,3,3,0,6,0.12,35,40,45,88,0.01571342700117384,0.012207151001348393,0.027977663001365727,0.9995360602022967,0.9069626970864447,1.0000000000000004,0.5750404345468886,0.42495956545311164,0.0,0.0,0.0,0.0,0.4133559489777409,ok,
voter_contrarians,50,0,0,6,6,0.12,35,40,315,1592,0.018620217000716366,0.024252778999652946,0.042954881999321515,0.9999599590476225,0.9889431027724648,1.000000000000001,0.5574781219599587,0.4425218780400411,0.0,0.0,0.0,0.0,0.3677061923471559,ok,
crossinh_zealots,50,3,3,0,6,0.12,35,40,1035,3960,0.021326944000975345,0.043356311000025016,0.0647851300000184,0.7718027091514436,0.33583716151508974,0.999994177752737,0.6882639697685319,0.3117302079842057,0.7504055058674137,0.24986312968230262,0.750241068075271,0.24906712549790155,3.297568550788891,ok,
crossinh_contrarians,50,0,0,6,6,0.12,35,40,7245,49774,0.050885925000329735,0.1830742319998535,0.23435240600156249,0.7999126121410295,0.43023852553384656,0.9999897090474695,0.6303736242733786,0.3696160847740895,0.00012748700116813844,0.0,0.0,0.0,2.732270698253915,ok,
voter_zealots,50,5,5,0,10,0.2,35,40,41,80,0.013784493999992264,0.01595444899976428,0.02979653000147664,0.9999206239942307,0.9631551654610184,1.0000000000000002,0.5754895692555158,0.42451043074448436,0.0,0.0,0.0,0.0,0.4604235516376376,ok,
voter_contrarians,50,0,0,10,10,0.2,35,40,451,2416,0.018975936000060756,0.023165678001532797,0.04222496699912881,0.9999963437220917,0.9992881252514894,1.0000000000000002,0.5453342083134439,0.45466579168655485,0.0,0.0,0.0,0.0,0.36985095620115843,ok,
crossinh_zealots,50,5,5,0,10,0.2,35,40,861,3280,0.01990913200097566,0.03116372499971476,0.05117640699972981,0.8110489065508873,0.34978060338664296,0.9999891485111628,0.6857244548388002,0.31426469367236193,0.7804734611612342,0.0,0.7783554282123765,0.0,3.3193840116991615,ok,
crossinh_contrarians,50,0,0,10,10,0.2,35,40,9471,67818,0.06023733400070341,0.24630949499987764,0.30690301199865644,0.906064705713927,0.5823116046218626,0.9999931058597039,0.5850222454339244,0.41497086042577835,0.0,0.0,0.0,0.0,2.1178920638762406,ok,
voter_zealots,50,6,6,0,12,0.24,35,40,39,76,0.01724500199998147,0.016441871001006803,0.03374076299951412,0.9999599598984298,0.9765698485620516,0.9999999999999987,0.5757503628475326,0.42424963715246694,0.0,0.0,0.0,0.0,0.48821271009815004,ok,
voter_contrarians,50,0,0,12,12,0.24,35,40,507,2756,0.020154548999926192,0.025870023999232217,0.04611157299950719,0.9999985567135938,0.9998235023233194,0.9999999999999986,0.5391669640138658,0.46083303598613345,0.0,0.0,0.0,0.0,0.36964032728933166,ok,
crossinh_zealots,50,6,6,0,12,0.24,35,40,780,2964,0.019325834000483155,0.031716191000668914,0.05113786600122694,0.8406654903989605,0.3616829044868983,0.9999869922645733,0.6833239580952044,0.3166630341693698,0.7918969649171318,0.0,0.0,0.0,3.3113581573929425,ok,
crossinh_contrarians,50,0,0,12,12,0.24,35,40,10140,73324,0.06473128200013889,0.2838639940000576,0.3489645579993521,0.9431675500888195,0.6948634597544476,0.9999970092980907,0.5638033664921757,0.43619364280591544,0.0,0.0,0.0,0.0,1.780755902913685,ok,
voter_zealots,50,10,10,0,20,0.4,35,40,31,60,0.01763088600091578,0.0157351510006265,0.03345475000060105,0.9999916207075424,0.9947465652771055,0.9999999999999998,0.5771505504119873,0.42284944958801146,0.0,0.0,0.0,0.0,0.6434696115371792,ok,
voter_contrarians,50,0,0,20,20,0.4,35,40,651,3636,0.019693281999934698,0.02224105899949791,0.04201737599942135,0.9999999066296232,0.9999993241638641,0.9999999999999979,0.515008304678232,0.4849916953217657,0.0,0.0,0.0,0.0,0.3606260783820527,ok,
crossinh_zealots,50,10,10,0,20,0.4,35,40,496,1860,0.015468445999431424,0.012285737999263802,0.027902767000341555,0.9582265908379893,0.4965038260066078,0.999988991314152,0.6672225939505956,0.33276639736355634,0.0,0.0,0.0,0.0,3.169597496851071,ok,
crossinh_contrarians,50,0,0,20,20,0.4,35,40,10416,76388,0.0636768980002671,0.29603255500114756,0.3600826189995132,0.9949476711951701,0.9782967995794952,0.9999999995851704,0.5051146481170266,0.49488535146814533,0.0,0.0,0.0,0.0,0.7817132309755942,ok,
voter_zealots,50,13,13,0,26,0.52,35,40,25,48,0.014765795998755493,0.008840548000080162,0.023666659000809886,0.9999908842790999,0.9970022187766058,0.9999999999999978,0.5788327821373523,0.42116721786264616,0.0,0.0,0.0,0.0,0.844634326892183,ok,
voter_contrarians,50,0,0,26,26,0.52,35,40,675,3792,0.01721126499978709,0.029160822999983793,0.046460338999168016,0.9999999800092151,0.9999999891126051,1.000000000000001,0.49859425742481517,0.5014057425751856,0.0,0.0,0.0,0.0,0.346758637300063,ok,
crossinh_zealots,50,13,13,0,26,0.52,35,40,325,1200,0.01630846500120242,0.018686979999984032,0.03507984399948327,0.9839576215877566,0.6754474615201173,0.9999951118779169,0.6525091829705312,0.3474859289073857,0.0,0.0,0.0,0.0,3.0781068090421186,ok,
crossinh_contrarians,50,0,0,26,26,0.52,35,40,8775,64154,0.059319909998521325,0.21641554900088522,0.2760660799995094,0.9997556876059018,0.9996663451361495,1.0000000000000007,0.48492935232458706,0.5150706476754123,0.0,0.0,0.0,0.0,0.479517729621804,ok,
voter_zealots,50,15,15,0,30,0.6,35,40,21,40,0.016656951000186382,0.01082529599989357,0.027546593999431934,0.9999807723743751,0.9969121741839801,0.999999999999999,0.5805348828845817,0.41946511711541723,0.0,0.0,0.0,0.0,1.0664434570455323,ok,
voter_contrarians,50,0,0,30,30,0.6,35,40,651,3656,0.022902300999703584,0.035057863000474754,0.05804967800031591,0.9999999922146234,0.9999999992902177,1.0000000000000007,0.4888934813950787,0.5111065186049213,0.0,0.0,0.0,0.0,0.33539148618438597,ok,
crossinh_zealots,50,15,15,0,30,0.6,35,40,231,840,0.017452928001148393,0.024592231999122305,0.042135507999773836,0.9888889595899274,0.7660639323688734,0.9999960124185107,0.644718025111103,0.3552779873074087,0.0,0.0,0.0,0.0,3.1824004520776596,ok,
crossinh_contrarians,50,0,0,30,30,0.6,35,40,7161,51958,0.05292313099926105,0.1772759119994589,0.23049164499934705,0.9999861119927406,0.9999950667039404,1.0000000000000007,0.4771788090707317,0.5228211909292682,0.0,0.0,0.0,0.0,0.38945446830858016,ok,
voter_zealots,80,0,0,0,0,0.0,35,40,81,160,0.014770294999834732,0.009285166999688954,0.024116333001074963,0.9913659613399313,0.6643106701825945,1.0000000000000007,0.5987678647298953,0.40123213527010254,0.9124138438102227,0.012920816738363955,0.8149987876080845,0.012920816738363955,0.39569224546642306,ok,
voter_contrarians,80,0,0,0,0,0.0,35,40,81,160,0.014529865000440623,0.01566814699981478,0.030270999999629566,0.9913659613399313,0.6643106701825945,1.0000000000000007,0.5987678647298953,0.40123213527010254,0.9124138438102227,0.012920816738363955,0.8149987876080845,0.012920816738363955,0.39569224546642306,ok,
crossinh_zealots,80,0,0,0,0,0.0,35,40,3320,12642,0.0219096590008121,0.1361981480004033,0.15826502700110723,0.7770463572993047,0.239290391070388,0.9999929829386298,0.7631886388911419,0.23680434404748885,0.7745966774584702,0.22541861926537907,0.7745945587880576,0.2253856302333706,4.4883153143436765,ok,
